stt|type|question|answer1|answer2|answer3|answer4|key
05 TIME (37)||1.Which statement is correct about the apparent solar day?|The apparent solar day is the period between two successive transits of the true Sun through the same meridian.|The duration of the apparent solar day is constant throughout a year due to the constant rotational speed of the Earth around its axis.|The duration of the apparent solar day is constant throughout a year due to the constant velocity of the Earth in its orbit around the Sun.|The apparent solar day is the period between two successive transits of the mean Sun through the same meridian.|1
15 TIME (37)||2.Compare two points at the same latitude and longititude, point A being at Mean Sea Level and point B at 10 000ft altitude. At point B, sunrise will occur...|earlier,due to more light being refracted from the atmosphere|earlier.due to the increased visual horizon|later, due to the reduced visual horizon|later, due to less light being refracted from the atmosphere.|2
25 TIME (37)||3.The time interval between sunrise and sunset is dependent on the...|inclination of the axis of the Earth and the longitude of the observer.|date and the longitude of the observer.|declination of the Sun and the latitude of the observer.|latitude and the longitude of the observer.|3
35 TIME (37)||4.Location A is at 50Â°N 030Â°W and location B is at 50Â°S 030Â°W. On 27th November it is noted that:|Sunrise will be later at A than it is at B and sunset will be earlier at A than it is at B.|Sunrise will be earlier at A than it is at B and sunset will be earlier at A than it is at B|Sunrise will be earlier at A than it is at B and sunset will be later at A than it is at B.|Sunrise and sunset will be at the same time at A and B.|1
45 TIME (37)||5.Which of the following statements is correct when crossing the International Date Line?|The date will always be the same.|The date will remain the same when crossing from a westerly longitude to an easterly longitude.|The date will increase when crossing on a westerly heading.|The date will increase when crossing on an easterly heading.|3
55 TIME (37)||6.At (54Â°N, 020Â°W) the sun rises on November 28th at 09:01 UTC. At (44Â°N, 020Â°W) the sun will rise...|at 07:41 LMT.|later since the latter position lies further south.|earlier since the latter position lies further south.|also at 09:01 UTC since both positions are situated on the same meridian.|3
65 TIME (37)||7.Which statement about ST is true?|In all cases the standard times at Western longitudes are slow on and at Eastern longitudes fast on UTC.|Standard time is the time that is determined by division of the longitude by 15 and rounding off the answer to the nearest integer.|Standard time is determined by the government of the appropriate state and does not necessarily follow the borders of 15Â° wide longitude zones.|The standard time at 125Â° W is UTC - 8h20m|3
75 TIME (37)||"8.An aircraft is in Tokyo (35Â°39'N, 139Â°50'E) and plans to fly to Anchorage (61Â°13""N, 149Â°52â€²W). What is the arc-to-time difference between Tokyo and Anchorage?"|9 hours 59 minutes|19 hours 19 minutes|4 hours 41 minutes|9 hours 19 minutes|3
85 TIME (37)||9.Which statement about the duration of daylight is true?|On September 10th the duration of daylight is longer on the Southern Hemisphere than on the Northern Hemisphere.|Close to the equinoxes the influence of latitude on the duration of daylight is at its smallest.|In summer the length of the period of daylight decreases with increasing latitude.|Close to the solstices the influence of latitude on the duration of daylight is at its smallest.|2
95 TIME (37)||10.An aircraft departs position A on the 170Â°00'E meridian at 01:30 Local Mean Time (LMT) on 11 February on an easterly course. It arrives at position B on the 160Â°00'W meridian 3:00 hours later. What is the LMT and local date of arrival at position B?|01:30, 10th February|07:30, 11th February|06:30, 10th February|02:30, 11th February|3
105 TIME (37)||11.Morning Civil twilight begins when the...|centre of the Sun is 6Â° below the celestial horizon.|centre of the Sun is 18Â° below the celestial horizon.|centre of the Sun is 12Â° below the celestial horizon.|Sun's upper edge is tangential to the celestial horizon.|1
115 TIME (37)||12.Which statement is true?|Civil twilight at the Equator lasts longer than at 60Â°N or 60Â°S because the radius of the Equator is larger than the radius of the 60Â° parallel.|The duration of the civil twilight on 21st of March and on 23rd of September is equal at all places on Earth independent of latitude.|The declination of the Sun and the latitude of the observer will affect the duration of civil twilight.|Only the declination of the Sun will affect the duration of civil twilight.|3
125 TIME (37)||13.When the time is 14:00 LMT at 90Â° west, it is...|12:00 LMT at 120Â° west.|10:00 LMT at 060Â° west.|14:00 LMT at 090Â° east.|06:00 LMT at the prime meridian.|1
135 TIME (37)||14.Position Elephant Point is situated at 58Â°00'N, 135Â°30'W.Standard time for this location is listed in the Air Almanac as UTC -8.If sunset occurs at 00:57 UTC on 21st January, what is the time of sunset in LMT?|08:57 on January 21st.|15:55 on January 20th.|09:59 on January 21st.|16:57 on January 20th.|2
145 TIME (37)||15.The Local Mean Time at longitude 095Â°20'W, at 0000 UTC, is:|0621:20 same day|1738:40 same day|1738:40 previous day|0621:20 previous day|3
155 TIME (37)||16.The main reason that day and night, throughout the year, have different duration, is due to the.. |inclination of the ecliptic to the Equator.|Earth's rotation.|relative speed of the Sun along the ecliptic.|gravitational effect of the Sun and Moon on the speed of rotation of the Earth.|1
165 TIME (37)||17.At 0000 Local Mean Time of an observer:|The mean sun is in transit with the observer's anti-meridian.|The apparent sun is in transit with the observer's anti-meridian.|The apparent sun is in transit with the observer's meridian.|The mean sun is in transit with the observer's meridian.|1
175 TIME (37)||18.Given the following information from an air almanac, what is the daylight saving time and date in country B if the time and date in country A is 01:50 Standard Time (ST) 20th June?$ST in country A is UTC +13 hours.$ST in country B is UTC-11 hours.$Daylight saving time (ST + 1 hour) is kept in country B from March to October.|00:50 19th June|02:50 19th June|01:50 21st June|01:50 19th June|2
